"personLabel"
"Karl Moritz von Beurmann"
"Richard Brenner"
"Hans Ruser"
"Steve Irwin"
"Gottlieb Wilhelm Leitner"
"Vitus Bering"
"Herbert Ponting"
"Dinis Dias"
"Jackey Jackey"
"Andrew Ellicott"
"Henry Robertson Bowers"
"Bartolomeu Dias"
"Jules Harmand"
"Grigory Shelikhov"
"Willem Barents"
"Thor Heyerdahl"
"Ferdinand von Wrangel"
"Vasily Golovnin"
"Thorfinn Karlsefni"
"Zac Sunderland"
"Sebastián Vizcaíno"
"Georg August Wallin"
"Salomon Müller"
"Duke John Albert of Mecklenburg"
"Samuel Gottlieb Gmelin"
"Nikolaus Federmann"
"Eduard Friedrich Poeppig"
"Hans Staden"
"Laura Dekker"
"Hermann, Fürst von Pückler-Muskau"
"Theodor von Heuglin"
"Robert Hermann Schomburgk"
"Wilhelm Hemprich"
"Gustav Hartlaub"
"Gustav Karl Wilhelm Hermann Karsten"
"Gustav Radde"
"Grigory Langsdorff"
"Ambrosius Ehinger"
"Heinrich von Kittlitz"
"Alexander Keyserling"
"Erich von Drygalski"
"Georg August Schweinfurth"
"Friedrich Gerhard Rohlfs"
"Karl Mauch"
"Victor Jacquemont"
"Ernst Schäfer"
"Georg Marcgrave"
"Charles Henry of Nassau-Siegen"
"Gustav Fischer"
"Johannes Rebmann"
"Berthold Carl Seemann"
"François Pollen"
"Carl Troll"
"Eduard Vogel"
"Albert Grünwedel"
"Alexander Bunge"
"Karl Klaus von der Decken"
"Georg von Speyer"
"Paul Güssfeldt"
"Paul Pogge"
"Carl Ferdinand Appun"
"Ferdinand Deppe"
"Gustav Frederik Holm"
"Curt von François"
"Zacharias Wagenaer"
"Leonhard Rauwolf"
"Friedrich August Marschall von Bieberstein"
"Gustav Adolf von Götzen"
"Philipp von Hutten"
"Teoberto Maler"
"Hans Fruhstorfer"
"Werner Janensch"
"Adolf Schlagintweit"
"Wilhelm Junker"
"Karl von den Steinen"
"Wilhelm Sievers"
"Georg von Neumayer"
"Adolf Overweg"
"Gregor von Helmersen"
"Robert Hartmann"
"Bruno Beger"
"Samuel dude"
"Justus Carl Hasskarl"
"Moritz Wagner"
"Hermann von Rosenberg"
"Wilhelm Reiss"
"Gunther Plüschow"
"Friedrich Hornemann"
"Carlo von Erlanger"
"Andreas Heckmair"
"Heinz Stücke"
"Günter Dyhrenfurth"
"Hans Meyer"
"Eduard Dallmann"
"Richard Böhm"
"Gerard Krefft"
"Albert von Le Coq"
"Reinhold Conrad Muschler"
"Carl Koldewey"
"Pêro Escobar"
